'DOH000000000004925','03','0369','036906','036906031','10','2012','J06','8','16','107','116','43','50','15','12','1','1','2','4','0','7','0','12','1','7','3','9','0','7','3','3','3','5','0','3','5','11','Y'
'DOH000000000004925','03','0369','036906','036906031','10','2012','B34','0','0','12','9','8','9','3','3','1','3','0','3','0','3','1','0','0','0','0','0','0','2','0','0','0','1','1','0','1','0','Y'
'DOH000000000004925','03','0369','036906','036906031','10','2012','A09','0','1','11','5','1','1','1','0','1','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004925','03','0369','036906','036906031','10','2012','T79','0','0','7','7','0','2','1','1','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','Y'
'DOH000000000004925','03','0369','036906','036906031','10','2012','J45','0','0','7','7','1','1','0','1','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000004925','03','0369','036906','036906031','10','2012','K29','0','0','1','1','1','3','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','2','Y'
'DOH000000000004925','03','0369','036906','036906031','10','2012','L03','0','0','2','1','1','0','1','0','2','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000004925','03','0369','036906','036906031','10','2012','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','3','0','2','0','0','0','2','Y'
'DOH000000000004925','03','0369','036906','036906031','10','2012','H81','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','2','3','Y'
'DOH000000000004925','03','0369','036906','036906031','10','2012','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','2','1','1','Y'
'DOH000000000004925','03','0369','036906','036906031','10','2012','N39','0','0','0','1','0','0','0','0','0','0','0','1','0','1','0','1','0','0','1','0','0','0','0','0','0','0','0','1','0','0','Y'
'DOH000000000004925','03','0369','036906','036906031','10','2012','T14','0','0','0','0','1','0','0','0','2','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','Y'
'DOH000000000004925','03','0369','036906','036906031','10','2012','T78','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','1','Y'
'DOH000000000004925','03','0369','036906','036906031','10','2012','M94','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','1','0','0','0','1','Y'
'DOH000000000004925','03','0369','036906','036906031','10','2012','H10','0','0','1','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004925','03','0369','036906','036906031','10','2012','B26','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
